Placa;Renavam;Status;Nome Empresa;Nome Consórcio;Número Célula;Número Ordem;Cor;Tipo Veículo;Tipo Cadastro;Padrão Veículo;Tipo Pneu;Padrão Serviço;Número Chassi;Ano Chassi;Modelo Chassi;Modelo Carroceria;Ano Carroceria;Potência Motor;Localização Motor;Tipo Câmbio;Tipo Suspensão;Largura Porta Dianteira Esquerda;Largura Porta Dianteira Direita;Largura Porta Central Esquerda;Largura Porta Central Direita;Largura Porta Traseira Esquerda;Largura Porta Traseira Direita;Quantidade Assentos;Peso Veiculo;Capacidade Tanque1;Capacidade Tanque2;Largura Antes Roleta;Largura Apos Roleta;Comprimento Antes Roleta;Comprimento Apos Roleta;Largura Area Deficientes;Comprimento Area Deficientes;Quantidade Portas Esquerda;Quantidade Portas Direita;Quantidade de Elevador;Quantidade de Wifi;Quantidade de Ar condicionado;Quantidade de TV;Quantidade de GPS;Quantidade de Câmera;Quantidade de Validadores;Quantidade de Roleta eletronica;Quantidade de Suporte de bicicleta
LMF6275;01049357130;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87187;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078FB003999;2015;Mbb of1722m;Induscar apache u;2015;208;Dianteiro;Manual;Molas;00;95;00;95;00;95;43;1700;300;0;65;60;110;822;80;120;0;3;1;0;0;0;0;4;1;1;0
HJZ5022;00181719088;Baixado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38018;Vermelho;Leve;Metropolitano;Midi;;Comercial;9BM384067AB677213;2009;Mbb of1418;Induscar apache u;2010;177;Dianteiro;Manual;Molas;;90;;0;;130;38;14000;300;;100;65;140;630;80;130;0;2;1;0;0;0;0;0;0;1;0
KQY4207;01049367453;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87188;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078FB004229;2015;Mbb of1721 euro v;Induscar apache u;2015;208;Dianteiro;Manual;Molas;00;95;00;95;00;95;43;17000;300;0;65;60;110;822;80;120;0;3;1;0;0;0;0;4;1;1;0
GVQ2095;00829807934;Baixado;RIT: 2 - Célula: 4 - VIAÇÃO BELO MONTE TRANSPORTES COLETIVOS SA;UNIMINAS;4;07198;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BWRP82W24R421406;2004;Volkswagen 17.210eod;Ciferal citmax u;2004;206;Dianteiro;Manual;Molas;;97;;90;;90;37;16800;300;;106;63;106;840;80;100;0;3;0;0;0;0;0;4;1;1;0
LMF6C83;01049362915;Aprovado;RIT: 3 - Célula: 3 - EMPRESA DE TRANSPORTES SANTA FÉ LTDA;METROPOLITANO DE TRANSPORTES;3;95072;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078FB003979;2015;Mbb of1721 euro v;Induscar apache u;2015;208;Dianteiro;Manual;Molas;00;95;00;95;00;95;43;17000;300;0;65;60;110;822;80;120;0;3;1;0;0;0;0;4;1;1;0
HER3804;00351322906;Aprovado;RIT: 3 - Célula: 5 - TURILESSA LTDA;METROPOLITANO DE TRANSPORTES;5;25801;Azul;Leve;Metropolitano;Midi;;Comercial;9BM384067BB797126;2011;Mbb of1418;Induscar foz u;2011;177;Dianteiro;Manual;Molas;0;110;0;110;0;110;32;17000;300;0;60;65;100;822;80;120;0;3;1;0;0;0;0;3;1;1;0
LMF6288;01049366600;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87190;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078FB004029;2015;Mbb of1721;Induscar apache u;2015;208;Dianteiro;Manual;Molas;00;95;00;00;00;95;43;17000;300;0;65;60;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
HJZ5035;00182829979;Baixado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38019;Vermelho;Leve;Metropolitano;Midi;;Comercial;9BM384067AB676470;2009;Mbb of1418;Induscar apache u;2010;177;Dianteiro;Manual;Molas;;90;;0;;130;38;14000;300;;110;65;100;760;80;130;0;2;1;0;0;0;0;4;1;1;0
QUE5457;01196713798;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87191;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078LB134067;2019;Mbb of1721 euro v;Comil svelto u;2020;208;Dianteiro;Manual;Molas;00;95;00;95;00;95;42;17000;300;40;65;60;100;822;80;80;0;3;1;0;0;0;0;4;1;1;0
HJZ5023;00181727587;Baixado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38020;Laranja;Leve;Metropolitano;Midi;;Comercial;9BM384067AB676455;2009;Mbb of1418;Induscar apache u;2010;177;Dianteiro;Manual;Molas;;80;;;;112;32;14000;300;;70;63;77;620;80;120;0;2;1;0;0;0;0;4;1;1;0
QUE9980;01196854243;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87192;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078LB133536;2019;Mbb of1721 euro v;Comil svelto u;2020;208;Dianteiro;Manual;Molas;00;95;00;00;00;95;42;17000;300;40;65;60;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
